Tamanho,Threads,Tempo
100000,76,133428
100000,77,126744
100000,78,125291
100000,79,125409
100000,80,123207
100000,81,120609
100000,82,115724
100000,83,158059
100000,84,121671
100000,85,118144
100000,86,112801
100000,87,125480
100000,88,120994
100000,89,115669
100000,90,135646
100000,91,153310
100000,92,158134
100000,93,131062
100000,94,118095
100000,95,116059
100000,96,116109
100000,97,121514
100000,98,130121
100000,99,111625
100000,100,116160
1000000,1,952493
1000000,2,908774
1000000,3,924673
1000000,4,893840
1000000,5,902622
1000000,6,1160845
1000000,7,1092151
1000000,8,1142764
1000000,9,1009088
1000000,10,914144
1000000,11,934827
1000000,12,952868
1000000,13,963426
1000000,14,947435
1000000,15,923685
1000000,16,919367
1000000,17,935206
1000000,18,964312
1000000,19,928335
1000000,20,919747
1000000,21,892249
1000000,22,1229113
1000000,23,1691825
1000000,24,2012460
1000000,25,1426854
1000000,26,1441860
1000000,27,1521449
1000000,28,2196718
1000000,29,2768500
1000000,30,2793830
1000000,31,4040819
1000000,32,2676444
1000000,33,3728470
1000000,34,2265608
1000000,35,986346
1000000,36,978257
1000000,37,1038802
1000000,38,941968
1000000,39,1018955
1000000,40,911740
1000000,41,1034771
1000000,42,966095
1000000,43,971239
1000000,44,960008
1000000,45,1074870
1000000,46,963482
1000000,47,904317
1000000,48,1027426
1000000,49,1015637
1000000,50,903620
1000000,51,1378163
1000000,52,1374009
1000000,53,1230809
1000000,54,1434024
1000000,55,1253378
1000000,56,2032588
1000000,57,1820238
1000000,58,1968141
1000000,59,1619756
1000000,60,1158251
1000000,61,976032
1000000,62,893705
1000000,63,893798
1000000,64,1014561
1000000,65,947771
1000000,66,4203808
1000000,67,933422
1000000,68,994346
1000000,69,1018849
1000000,70,935710
1000000,71,1020433
1000000,72,1029230
1000000,73,1200020
1000000,74,1160926
1000000,75,962856
1000000,76,933332
1000000,77,1000653
1000000,78,947384
1000000,79,931118
1000000,80,961249
1000000,81,1137221
1000000,82,947108
1000000,83,949390
1000000,84,966533
1000000,85,1026996
1000000,86,1196083
1000000,87,1769031
1000000,88,1987273
1000000,89,1042696
1000000,90,1239995
1000000,91,1381415
1000000,92,1333432
1000000,93,3386637
1000000,94,1246418
1000000,95,3464759
1000000,96,3850843
1000000,97,2869010
1000000,98,2734401
1000000,99,3271136
1000000,100,1491364
10000000,1,12822517
10000000,2,17629292
10000000,3,23284032
10000000,4,14619322
10000000,5,14675736
10000000,6,12809626
10000000,7,15505291
10000000,8,24989548
10000000,9,13711176
10000000,10,16031635
10000000,11,12794735
10000000,12,14423366
10000000,13,42282295
10000000,14,16876596
10000000,15,12882023
10000000,16,13958007
10000000,17,27086359
10000000,18,33823245
10000000,19,16501238
10000000,20,12819094
10000000,21,13119283
10000000,22,19835309
10000000,23,21014310
10000000,24,16288307
10000000,25,13473563
10000000,26,12953909
10000000,27,15159743
10000000,28,24489188
10000000,29,15209652
10000000,30,17091389
10000000,31,15354855
10000000,32,16804258
10000000,33,28983656
10000000,34,13769245
10000000,35,16720513
10000000,36,13548083
10000000,37,14871328
10000000,38,24875565
10000000,39,17470291
10000000,40,20427260
10000000,41,26506283
10000000,42,38474927
10000000,43,45908153
10000000,44,37382775
10000000,45,40005774
10000000,46,41474929
10000000,47,42152935
10000000,48,24128913
10000000,49,19280371
10000000,50,14858358
10000000,51,15024905
10000000,52,18956857
10000000,53,23493648
10000000,54,17114793
10000000,55,12820270
10000000,56,12867853
10000000,57,23776965
10000000,58,19527428
10000000,59,28524015
10000000,60,13120119
10000000,61,13030334
10000000,62,27307508
10000000,63,13672094
10000000,64,15629798
10000000,65,16348834
10000000,66,14202873
10000000,67,13751578
10000000,68,26492232
10000000,69,13002190
10000000,70,16310287
10000000,71,12624892
10000000,72,12715941
10000000,73,19102588
10000000,74,21748334
10000000,75,14110535
10000000,76,15182113
10000000,77,13204627
10000000,78,14949360
10000000,79,25828478
10000000,80,12844596
10000000,81,17109590
10000000,82,13009730
10000000,83,13043133
10000000,84,15026811
10000000,85,26377995
10000000,86,13484138
10000000,87,16394303
10000000,88,12621759
10000000,89,12504625
10000000,90,18385965
10000000,91,23852740
10000000,92,15294977
10000000,93,15577359
10000000,94,13709314
10000000,95,16185237
10000000,96,20701993
10000000,97,21130202
10000000,98,15955517
10000000,99,13652823
10000000,100,13011096
100000000,1,275689774
100000000,2,300998616
100000000,3,144963723
100000000,4,148714235
100000000,5,127736158
100000000,6,142517261
100000000,7,135311142
100000000,8,162597321
100000000,9,140542298
100000000,10,166579775
100000000,11,166889639
100000000,12,257356854
100000000,13,148689713
100000000,14,145008228
100000000,15,130106293
100000000,16,146587410
100000000,17,136750669
100000000,18,176408181
100000000,19,136088267
100000000,20,138100689
100000000,21,135746391
100000000,22,142967633
100000000,23,141920623
100000000,24,151587201
100000000,25,133441358
100000000,26,146139317
100000000,27,129838772
100000000,28,144642705
100000000,29,130035446
100000000,30,130122157
100000000,31,137295462
100000000,32,138616483
100000000,33,137526841
100000000,34,130690770
100000000,35,157260795
100000000,36,144263105
100000000,37,135171049
100000000,38,139731245
100000000,39,135721473
100000000,40,140528691
100000000,41,155138319
100000000,42,141172349
100000000,43,151941921
100000000,44,131625913
100000000,45,139156234
100000000,46,137881477
100000000,47,141081986
100000000,48,127873567
100000000,49,132004588
100000000,50,205758095
100000000,51,147914933
100000000,52,145530062
100000000,53,147020912
100000000,54,148779409
100000000,55,150981259
100000000,56,139357193
100000000,57,146013953
100000000,58,169798429
100000000,59,164630505
100000000,60,131588088
100000000,61,148988620
100000000,62,159941813
100000000,63,145319095
100000000,64,131237711
100000000,65,136563949
100000000,66,139044225
100000000,67,154500787
100000000,68,137253367
100000000,69,140222071
100000000,70,132247070
100000000,71,142290699
100000000,72,153974221
100000000,73,147243673
100000000,74,128760183
100000000,75,192945464
100000000,76,187656974
100000000,77,193506133
100000000,78,216976546
100000000,79,143940471
100000000,80,141046404
100000000,81,146436674
100000000,82,250488805
100000000,83,141223349
100000000,84,156910557
100000000,85,253771537
100000000,86,140199719
100000000,87,147706978
100000000,88,155852974
100000000,89,185821669
100000000,90,130749584
100000000,91,140639129
100000000,92,135915098
100000000,93,150157738
100000000,94,129382202
100000000,95,138672818
100000000,96,131921205
100000000,97,143358677
100000000,98,133496094
100000000,99,146205795
100000000,100,135365074
